area_abbr,occupation_name,employment,hourly_mean_wage,annual_mean_wage,annual_median_wage,location_quotient,occupation_wage_rank,metro_wage_rank,mean_median_wage_gap
AUS,Database Architects,"1,110",$71,"$147,860","$139,960",1.98,1,2,"$7,900"
AUS,Software Developers,"31,960",$69,"$143,630","$134,120",2.28,2,4,"$9,510"
AUS,Data Scientists,"3,730",$61,"$126,830","$127,360",1.71,3,4,$-530
AUS,Database Administrators,"1,110",$56,"$117,420","$123,830",1.90,4,4,"$-6,410"
CHI,Database Architects,"1,260",$70,"$146,080","$147,490",0.65,1,3,"$-1,410"
CHI,Software Developers,"40,370",$68,"$141,640","$134,380",0.82,2,5,"$7,260"
CHI,Data Scientists,"7,940",$57,"$118,860","$107,640",1.04,3,5,"$11,220"
CHI,Database Administrators,"1,870",$53,"$111,210","$109,680",0.92,4,5,"$1,530"
DC,Database Architects,"4,740",$77,"$159,980","$162,870",3.50,1,1,"$-2,890"
DC,Software Developers,"69,060",$74,"$153,100","$154,930",2.03,2,3,"$-1,830"
DC,Data Scientists,"9,260",$69,"$143,510","$132,200",1.75,3,3,"$11,310"
DC,Database Administrators,"3,730",$57,"$119,320","$108,750",2.65,4,3,"$10,570"
NY,Software Developers,"121,000",$80,"$165,870","$166,830",1.17,1,2,$-960
NY,Data Scientists,"23,160",$70,"$144,700","$135,980",1.45,2,2,"$8,720"
NY,Database Architects,"5,460",$68,"$140,400","$131,540",1.33,3,4,"$8,860"
NY,Database Administrators,"3,630",$60,"$125,550","$121,550",0.85,4,2,"$4,000"
SEA,Software Developers,"92,770",$84,"$174,920","$167,280",4.10,1,1,"$7,640"
SEA,Data Scientists,"8,370",$77,"$160,460","$164,740",2.38,2,1,"$-4,280"
SEA,Database Architects,"2,500",$64,"$133,670","$105,430",2.77,3,5,"$28,240"
SEA,Database Administrators,"1,010",$63,"$131,460","$133,180",1.07,4,1,"$-1,720"
