area_abbr,occupation_name,employment,avg_labor_force_2025,occupation_share_pct
AUS,Data Scientists,"3,730","1,555,141",0.24%
AUS,Database Administrators,"1,110","1,555,141",0.07%
AUS,Database Architects,"1,110","1,555,141",0.07%
AUS,Software Developers,"31,960","1,555,141",2.06%
CHI,Data Scientists,"7,940","5,030,097",0.16%
CHI,Database Administrators,"1,870","5,030,097",0.04%
CHI,Database Architects,"1,260","5,030,097",0.03%
CHI,Software Developers,"40,370","5,030,097",0.80%
DC,Data Scientists,"9,260","3,517,624",0.26%
DC,Database Administrators,"3,730","3,517,624",0.11%
DC,Database Architects,"4,740","3,517,624",0.13%
DC,Software Developers,"69,060","3,517,624",1.96%
NY,Data Scientists,"23,160","10,351,490",0.22%
NY,Database Administrators,"3,630","10,351,490",0.04%
NY,Database Architects,"5,460","10,351,490",0.05%
NY,Software Developers,"121,000","10,351,490",1.17%
SEA,Data Scientists,"8,370","2,318,774",0.36%
SEA,Database Administrators,"1,010","2,318,774",0.04%
SEA,Database Architects,"2,500","2,318,774",0.11%
SEA,Software Developers,"92,770","2,318,774",4.00%
